web-scraper-order,web-scraper-start-url,firstLetters,firstLetters-href,testNames
"1522321845-1489","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","C","https://www.medicinenet.com/procedures_and_tests/alpha_c.htm","Chemical Peel"
"1522321688-1011","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","S","https://www.medicinenet.com/procedures_and_tests/alpha_s.htm","Symptothermal Method of Birth Control (Natural Methods of Birth Control)"
"1522321845-1491","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","C","https://www.medicinenet.com/procedures_and_tests/alpha_c.htm","Chemotherapy"
"1522321860-1662","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","A","https://www.medicinenet.com/procedures_and_tests/alpha_a.htm","Angioplasty (Coronary Angioplasty)"
"1522321845-1495","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","C","https://www.medicinenet.com/procedures_and_tests/alpha_c.htm","childhood immunization schedule (Childhood Vaccination Schedule)"
"1522321678-928","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","T","https://www.medicinenet.com/procedures_and_tests/alpha_t.htm","Triglyceride Test"
"1522321749-1189","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","L","https://www.medicinenet.com/procedures_and_tests/alpha_l.htm","Laparoscopically Assisted Vaginal Hysterectomy"
"1522321800-1323","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","G","https://www.medicinenet.com/procedures_and_tests/alpha_g.htm","GERD Test (Esophageal pH Monitoring)"
"1522321688-992","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","S","https://www.medicinenet.com/procedures_and_tests/alpha_s.htm","Subpial Transection (Multiple Subpial Transection)"
"1522321860-1666","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","A","https://www.medicinenet.com/procedures_and_tests/alpha_a.htm","Anti-cyclic Citrullinated Peptide Antibody (Citrulline Antibody)"
"1522321678-916","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","T","https://www.medicinenet.com/procedures_and_tests/alpha_t.htm","Transabdominal Ultrasound (Prenatal Ultrasound)"
"1522321860-1654","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","A","https://www.medicinenet.com/procedures_and_tests/alpha_a.htm","ALT Test (Liver Blood Tests)"
"1522321810-1339","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","F","https://www.medicinenet.com/procedures_and_tests/alpha_f.htm","Flu Shot Pregnancy Side Effects (Pregnancy Flu Shot Side Effects and Safety)"
"1522321688-954","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","S","https://www.medicinenet.com/procedures_and_tests/alpha_s.htm","SGOT Test (Liver Blood Tests)"
"1522321725-1124","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","O","https://www.medicinenet.com/procedures_and_tests/alpha_o.htm","Oophorectomy (Hysterectomy)"
"1522321667-857","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","U","https://www.medicinenet.com/procedures_and_tests/alpha_u.htm","Upper Gastrointestinal Endoscopy (Endoscopy)"
"1522321845-1501","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","C","https://www.medicinenet.com/procedures_and_tests/alpha_c.htm","Cholescintigraphy"
"1522321845-1468","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","C","https://www.medicinenet.com/procedures_and_tests/alpha_c.htm","Cancer Detection"
"1522321715-1052","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","P","https://www.medicinenet.com/procedures_and_tests/alpha_p.htm","PEG (Percutaneous Endoscopic Gastrostomy)"
"1522321678-888","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","T","https://www.medicinenet.com/procedures_and_tests/alpha_t.htm","Tests, Pregnancy (Pregnancy Test)"
"1522321667-860","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","U","https://www.medicinenet.com/procedures_and_tests/alpha_u.htm","Urinals for Incontinence (Urinary Incontinence Products for Men)"
"1522321688-974","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","S","https://www.medicinenet.com/procedures_and_tests/alpha_s.htm","Stapled Hemorrhoidectomy"
"1522321715-1107","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","P","https://www.medicinenet.com/procedures_and_tests/alpha_p.htm","Prostate Cancer Screening"
"1522321810-1343","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","F","https://www.medicinenet.com/procedures_and_tests/alpha_f.htm","Formula Feeding (Breastfeeding)"
"1522321742-1168","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","M","https://www.medicinenet.com/procedures_and_tests/alpha_m.htm","Mohs Surgery"
"1522321860-1668","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","A","https://www.medicinenet.com/procedures_and_tests/alpha_a.htm","Antimicrosomal Antibody Test (Thyroid Peroxidase Test)"
"1522321678-934","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","T","https://www.medicinenet.com/procedures_and_tests/alpha_t.htm","Tumor Necrosis Factor (Biological Therapy)"
"1522321822-1383","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","E","https://www.medicinenet.com/procedures_and_tests/alpha_e.htm","Endotracheal Intubation"
"1522321715-1040","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","P","https://www.medicinenet.com/procedures_and_tests/alpha_p.htm","Papillomavirus, Human Test (Cervista HPV Test)"
"1522321777-1263","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","I","https://www.medicinenet.com/procedures_and_tests/alpha_i.htm","Intrauterine Device (IUD)"
"1522321777-1256","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","I","https://www.medicinenet.com/procedures_and_tests/alpha_i.htm","Infusion (IV Drug Infusion FAQs)"
"1522321788-1277","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","H","https://www.medicinenet.com/procedures_and_tests/alpha_h.htm","HDL Cholesterol Test (Cholesterol Test)"
